	gene	locus_tag	product	protein_id	EC_number
0	lacE	SMb21652	ABC transporter, periplasmic solute-binding 	CAC48401.1	NA
1	lacF	SMb21653	ABC transporter, permease	CAC48402.1	NA
2	lacG	SMb21654	ABC transporter, permease	CAC48403.1	NA
3	lacZ1	SMb21655	Beta-galactosidase	CAC48404.1	3.2.1.23
4	lacK1	SMb20002	ABC transporter, ATP-binding protein	CAC48405.1	NA
5	NA	SMb20003	Pyrroline-5-carboxylate reductase	CAC48406.1	1.5.1.2
6	gstR	SMb20004	Putative GstR-like transcriptional regulator	CAC48407.1	NA
7	gst15	SMb20005	Putative glutathione S-transferase	CAC48408.1	2.5.1.18
8	NA	SMb20006	Hypothetical protein	CAC48409.1	NA
9	katC	SMb20007	Catalase	CAC48410.1	1.11.1.6
10	NA	SMb20008	DNA ligase (ATP)	CAC48411.1	6.5.1.1
11	NA	SMb20009	Putative transcriptional regulator	CAC48412.1	NA
12	NA	SMb20010	Hypothetical protein	CAC48413.1	NA
13	NA	SMb20011	Putative heavy-metal transporter	CAC48414.1	NA
14	NA	SMb20012	Hypothetical protein	CAC48415.1	NA
15	NA	SMb20013	Putative oxidoreductase	CAC48416.1	1.-.-.-
16	NA	SMb20014	Probable transcriptional regulator	CAC48417.1	NA
17	NA	SMb20015	Putative sugar ABC transporter	CAC48418.1	NA
18	NA	SMb20016	Putative sugar ABC transporter	CAC48419.1	NA
19	NA	SMb20017	Putative sugar ABC transporter ATP-binding 	CAC48420.1	NA
20	NA	SMb20018	Probable sugar transport ATP-binding protein	CAC48421.1	NA
21	sucB	SMb20019	Dihydrolipoyllysine-residue succinyltransferase	CAC48422.1	2.3.1.61
22	pdh	SMb20020	Pyruvate dehydrogenase (acetyl-transferring)	CAC48423.1	1.2.4.1
23	NA	SMb20021	Putative transcriptional regulator	CAC48424.1	NA
24	NA	SMb20022	Conserved hypothetical protein	CAC48425.1	NA
25	NA	SMb20023	Probable 5-oxoprolinase	CAC48426.1	3.5.2.9
26	NA	SMb20024	Ribosomal large subunit pseudouridine synthase 	CAC48427.1	4.2.1.70
27	NA	SMb20025	Conserved hypothetical protein	CAC48428.1	NA
28	NA	SMb20026	Conserved hypothetical protein	CAC48429.1	NA
29	NA	SMb20027	Conserved hypothetical protein	CAC48430.1	NA
30	NA	SMb20028	Hypothetical protein	CAC48431.1	NA
31	NA	SMb20029	Conserved hypothetical protein	CAC48432.1	NA
32	rpoE9	SMb20030	RNA polymerase sigma factor, ECF subfamily 	CAC48433.1	NA
33	NA	SMb20031	Hypothetical protein	CAC48434.1	NA
34	NA	SMb20032	Hypothetical protein	CAC48435.1	NA
35	NA	SMb20033	Hypothetical transcriptional regulator protein	CAC48436.1	NA
36	NA	SMb20034	ABC transporter, permease	CAC48437.1	NA
37	NA	SMb20035	ABC transporter, permease	CAC48438.1	NA
38	NA	SMb20036	ABC transporter, periplasmic solute-binding 	CAC48439.1	NA
39	aroE2	SMb20037	Putative shikimate 5-dehydrogenase	CAC48440.1	1.1.1.25
40	NA	SMb20038	Hypothetical protein	CAC48441.1	NA
41	NA	SMb20039	Aspartate transaminase	CAC48442.1	2.6.1.1
42	NA	SMb20040	Hypothetical protein transmembrane	CAC48443.1	NA
43	NA	SMb20041	Hypothetical protein	CAC48444.1	NA
44	NA	SMb20042	Conserved hypothetical protein	CAC48445.1	NA
